STN---,WBAN,YEARMODA,TEMP,,DEWP,,SLP,,STP,,VISIB,,WDSP,,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
744860,94789,20060127,29.4,24,11.8,24,1032,24,1031.3,24,10,24,12.3,24,18.8,22.7,41,21.9,0.00G,999.9,0
744860,94789,20060128,40.8,24,22.9,24,1025.8,24,1025.1,24,10,24,10.4,24,15,999.9,55,21.9,0.00G,999.9,0
744860,94789,20060129,42.1,24,34.9,24,1016.5,24,1015.7,24,9.5,24,8.7,24,19.8,22.7,55,32,0.00G,999.9,10000
744860,94789,20060130,47.2,24,43.8,24,1008.1,24,1007.3,24,5.9,24,7.1,24,11.8,999.9,62.1,34,0.09G,999.9,10000
744860,94789,20060131,40.9,24,38,24,1005.1,24,1004.4,24,7.4,24,13.5,24,18.1,22.7,46.0*,37.9*,0.01G,999.9,10000
744860,94789,20060201,38.7,24,25.9,24,1012.2,24,1011.5,24,10,24,13,24,21.8,25.8,44.1,36,0.05G,999.9,10000
744860,94789,20060202,40.1,24,32.2,24,1016,24,1015.2,24,10,24,8.4,24,15,999.9,48,32,0.00G,999.9,0
744860,94789,20060203,49.9,24,45.2,24,1008.2,24,1007.2,24,6.4,24,14.4,24,23.7,29.7,61,32,0.19G,999.9,110000
744860,94789,20060204,46.4,24,39.1,24,1010.1,24,1009.5,24,7.1,24,8.2,24,18.8,23.7,61,39,0.28G,999.9,110000
744860,94789,20060205,47.4,24,39.8,24,995.9,23,995.3,24,7.1,24,16.4,24,21.8,28.7,54,37.9,0.45G,999.9,10000
744860,94789,20060206,37.2,24,19.5,24,1005.9,24,1005.1,24,10,24,22.8,24,27,36.7,54,34,0.16G,999.9,0
744860,94789,20060207,37.1,24,17.1,24,1011.8,24,1011,24,10,24,16.9,24,22.7,27.8,44.1,32,0.00G,999.9,0
744860,94789,20060208,32.5,24,16.2,24,1016.4,24,1015.7,24,10,24,10.2,24,16.9,999.9,44.1,27,0.00G,999.9,0
744860,94789,20060209,29.7,24,10.2,24,1016.5,24,1015.8,24,10,24,10.1,24,16.9,21.8,37.9,23,0.00G,999.9,0
744860,94789,20060210,30.9,24,12.3,24,1019.8,24,1019.1,24,9.9,24,11.9,24,16.9,23.7,37.9,23,0.00G,999.9,1000
744860,94789,20060211,34,24,22.1,24,1019.2,24,1018.5,24,9,24,7.3,24,15,999.9,39,25.2,0.00G,999.9,1000
744860,94789,20060212,26.1,24,23.3,24,1004.6,24,1003.6,24,1.1,24,18.5,24,24.9,33.6,39,23,0.09G,16.9,101000
744860,94789,20060213,26.3,24,14.3,24,1011,24,1010.2,24,10,24,13.8,24,17.9,999.9,34,19.9,0.08G,15,0
744860,94789,20060214,32.3,24,21.1,24,1017.1,24,1016.4,24,10,24,12.7,24,16.9,999.9,39,19.9,0.00G,13,0
744860,94789,20060215,37.2,24,30.3,24,1022.7,24,1021.9,24,9.6,24,8.2,24,13,999.9,46,28,0.00G,7.9,0
744860,94789,20060216,41.9,24,35,24,1024.7,24,1023.9,24,9.2,24,4.6,24,8.9,999.9,52,28.2,0.00G,3.9,0
744860,94789,20060217,47.6,24,36.9,24,1015.1,24,1014.3,24,9.2,24,18.3,24,33,46.6,57,32,0.00G,1.2,10000
744860,94789,20060218,31.6,24,10,24,1021.5,24,1020.7,24,10,24,17.1,24,25.1,29.7,41.0*,19.9*,0.08G,1.2,1000
744860,94789,20060219,19.8,24,-2.4,24,1027.5,24,1026.8,24,10,24,15.1,24,26,31.7,35.1,15.1,0.00G,999.9,0
744860,94789,20060220,27.5,24,4.8,24,1022.3,24,1021.6,24,10,24,10.9,24,16.9,999.9,36,15.1,0.00G,999.9,0
744860,94789,20060221,34.1,24,15.7,24,1015.6,24,1014.8,24,10,24,10.4,24,19,24.9,42.1,23,0.00G,999.9,0
744860,94789,20060222,35.4,24,20.3,24,1018.3,24,1017.6,24,10,24,6.8,24,15,999.9,43,26.1,0.00G,999.9,0
744860,94789,20060223,39.5,24,33.9,24,1012.8,24,1012.1,24,7.2,24,7.1,24,16.9,20.8,46.9,26.2,0.00G,999.9,0
744860,94789,20060224,37.3,24,16.7,24,1015,24,1014.3,24,9.8,24,17.9,24,29.7,37.7,46.9,32,0.00G,999.9,0
744860,94789,20060225,33.6,24,12.6,24,1021.4,24,1020.7,24,10,24,14.5,24,25.8,30.7,48,24.1,0.00G,999.9,0
744860,94789,20060226,27.8,24,4.3,24,1017.7,24,1017,24,10,24,21.8,24,29.7,39.6,48.9,18,0.00G,999.9,0
744860,94789,20060227,22.5,24,-1.3,24,1017.8,24,1017,24,10,24,16.2,24,22.7,31.7,32,18,0.00G,999.9,0
744860,94789,20060228,27.5,24,6.7,24,1012.6,24,1011.9,24,10,24,12,24,19,26.8,34,18,0.00G,999.9,1000
744860,94789,20060301,32.7,24,7.7,24,1011.6,24,1010.8,24,10,24,13.3,24,26,30.7,42.1,23,0.00G,999.9,0
744860,94789,20060302,31.6,24,19.8,24,1007.6,24,1006.9,24,7.1,24,5.5,24,13.8,18.8,42.1,24.1,0.00G,1.2,11000
744860,94789,20060303,28.5,24,15.5,24,1009.7,24,1009,24,9.7,24,18.5,24,26.8,33.6,34,23,0.57G,1.2,1000
744860,94789,20060304,29.8,24,12.4,24,1013.2,24,1012.4,24,10,24,20.8,24,27,36.7,39,21.9,0.00G,1.2,0
744860,94789,20060305,37.5,24,12.8,24,1017.4,24,1016.7,24,10,24,17.4,24,23.9,27.8,48,25.2,0.00G,999.9,0
744860,94789,20060306,36.8,24,13.5,24,1016.6,24,1015.9,24,10,24,9.8,24,19.8,25.8,48,30.9,0.00G,999.9,0
744860,94789,20060307,36.4,24,18.5,24,1018.9,24,1018.1,24,10,24,8.9,24,13,17.9,44.1,28.9,0.00G,999.9,0
744860,94789,20060308,35.9,24,15.9,24,1020.9,24,1020.2,24,10,24,8.4,24,11.8,999.9,44.1,28,0.00G,999.9,0
744860,94789,20060309,42.8,24,35.6,24,1015.6,24,1014.9,24,10,24,11.5,24,20.8,22.7,51.1,28.2,0.00G,999.9,0
744860,94789,20060310,52.2,24,43,24,1006.9,24,1006.2,24,8.4,24,15.2,24,23.7,27.8,71.1,39,0.00G,999.9,0
744860,94789,20060311,56.2,24,33.6,24,1019.6,24,1018.8,24,10,24,13.2,24,20,24.9,71.1,45,0.00G,999.9,0
744860,94789,20060312,47.2,24,41.2,24,1022.4,24,1021.6,24,7.6,24,5.9,24,12,999.9,63,44.1,0.00G,999.9,10000
744860,94789,20060313,49.1,24,47.6,24,1013,24,1012.2,24,1.7,24,4.9,24,9.9,999.9,55.9,44.1,0.62G,999.9,100000
744860,94789,20060314,52.2,24,40.5,24,999.4,24,998.7,24,7.9,24,13.3,24,27.8,36.7,61,46,0.01G,999.9,10000
744860,94789,20060315,41.3,24,18,24,1006.4,24,1005.7,24,10,24,19.8,24,23.7,35.7,61,36,0.02G,999.9,1000
744860,94789,20060316,41.2,24,15.2,24,1014.2,24,1013.4,24,10,24,16.7,24,23.7,33.6,48.9,35.1,0.00G,999.9,0
744860,94789,20060317,38.9,24,15,24,1016.5,24,1015.8,24,10,24,11.6,24,18.8,24.9,48.9,32,0.00G,999.9,0
744860,94789,20060318,35.3,24,8.6,24,1015.6,24,1014.8,24,10,24,16.6,24,22.9,28.7,46,28.9,0.00G,999.9,0
744860,94789,20060319,35.4,24,12.3,24,1014.3,24,1013.6,24,10,24,15.7,24,23.7,26.8,43,29.1,0.00G,999.9,0
744860,94789,20060320,35.6,24,16,24,1016.3,24,1015.6,24,10,24,15,24,22,27.8,43,30.2,0.00G,999.9,0
744860,94789,20060321,31.7,24,10.5,24,1013.5,24,1012.7,24,10,24,11.3,24,18.8,22.7,42.1,24.1,0.00G,999.9,0
744860,94789,20060322,38.7,24,18.9,24,1009.3,24,1008.5,24,10,24,13.3,24,20,26.8,46.9,24.3,0.00G,999.9,0
744860,94789,20060323,41.3,24,20,24,1018.5,24,1017.7,24,10,24,14.2,24,23.9,27.8,53.1,32,0.00G,999.9,0
744860,94789,20060324,44.1,24,27.1,24,1018.6,24,1017.9,24,10,24,7.7,24,11.1,999.9,53.1,34,0.00G,999.9,0
744860,94789,20060325,40.9,24,30.3,24,1015,24,1014.2,24,10,24,10,24,15.9,19.8,52,37,0.00G,999.9,0
744860,94789,20060326,44.2,24,29,24,1013.6,24,1012.8,24,10,24,9.6,24,19.8,24.9,52,37,0.00G,999.9,10000
744860,94789,20060327,48,24,21.8,24,1018.9,24,1018.1,24,10,24,13,24,19,23.7,59,37.9,0.00G,999.9,0
744860,94789,20060328,47,24,24.1,24,1023.2,24,1022.4,24,10,24,8.1,24,13.8,999.9,59,37.9,0.00G,999.9,0
744860,94789,20060329,46.1,24,32,24,1023.7,24,1022.9,24,10,24,5.7,24,13.8,999.9,55.9,36,0.00G,999.9,0
744860,94789,20060330,48.8,24,31.6,24,1025.9,24,1025.2,24,9.9,24,6.2,24,13,999.9,62.1,36,0.00G,999.9,0
744860,94789,20060331,50.1,24,38.1,24,1023.9,24,1023.2,24,9.7,24,9.6,24,21.8,23.7,62.1,37,0.00G,999.9,0
744860,94789,20060401,54.1,24,46,24,1011.5,24,1010.8,24,7.7,24,11.7,24,24.9,32.6,66.9,48,0.00G,999.9,10000
744860,94789,20060402,57.8,24,32.2,24,1014,24,1013.3,24,10,24,12.9,24,16.9,25.8,66.9,48,0.01G,999.9,0
744860,94789,20060403,49,24,33.5,24,1015.2,24,1014.5,24,9.7,24,7.7,24,20.8,29.7,66.9,39.9,0.00G,999.9,10000
744860,94789,20060404,49.1,24,36.9,24,1003.1,24,1002.3,24,8.5,24,17.5,24,23.9,32.6,55.9,39.9,0.26G,999.9,10000
744860,94789,20060405,41.4,24,27.8,24,1006.3,23,1005.3,24,8.5,24,9.4,24,19.8,26.8,55.9,32,0.09G,1.2,111000
744860,94789,20060406,44.9,24,25.8,24,1011.2,24,1010.4,24,10,24,12.2,24,16.9,19.8,53.1,34,0.27G,999.9,0
744860,94789,20060407,47.9,24,40.2,24,1009.4,24,1008.6,24,9.9,24,9,24,15.9,22.7,57,39,0.00G,999.9,10000
744860,94789,20060408,47.6,24,42.6,24,1005.7,24,1004.8,24,8,24,9.1,24,16.9,21.8,57,37.9,0.03G,999.9,11000
744860,94789,20060409,43.6,24,24.6,24,1017.7,24,1016.9,24,10,24,10.7,24,16.9,19.8,57,37,0.66G,999.9,0
744860,94789,20060410,47.4,24,29.2,24,1023.4,24,1022.7,24,10,24,8.1,24,15.9,999.9,57,37,0.00G,999.9,0
744860,94789,20060411,48.4,24,37.2,24,1027.7,24,1026.9,24,10,24,8.5,24,17.9,24.9,59,39,0.00G,999.9,0
744860,94789,20060412,50.5,24,42,24,1028.5,24,1027.7,24,10,24,12.9,24,23.7,29.7,59,39,0.00G,999.9,0
744860,94789,20060413,57.4,24,46,24,1018.9,24,1018.1,24,10,24,13.2,24,22.7,28.7,75.9,44.1,0.00G,999.9,10010
744860,94789,20060414,55.2,24,46.1,24,1012.5,24,1011.8,24,9.2,24,5.7,24,21,999.9,75.9,48.9,0.00G,999.9,10000
744860,94789,20060415,59.7,24,50.6,24,1000.4,22,999.9,24,4.9,24,6.6,24,15.9,16.9,80.1,48,0.20G,999.9,110000
744860,94789,20060416,61,24,33.5,24,1004.2,24,1003.4,24,10,24,14.1,24,19.8,28.7,80.1,48,0.00G,999.9,0
744860,94789,20060417,54.9,24,31.3,24,1008.5,24,1007.7,24,10,24,10.3,24,15,21.8,66,46,0.00G,999.9,0
744860,94789,20060418,56.7,24,35.9,24,1011,24,1010.2,24,10,24,13.5,24,19.8,23.7,71.1,46,0.00G,999.9,0
744860,94789,20060419,59.8,24,37.8,24,1010,24,1009.2,24,10,24,10.6,24,22.7,29.7,73,46,0.00G,999.9,0
744860,94789,20060420,67.2,24,31.7,24,1010.1,24,1009.4,24,10,24,10.6,24,15,999.9,78.1,46,0.00G,999.9,0
744860,94789,20060421,53.3,24,39.7,24,1021.8,24,1021,24,10,24,13.5,24,19,23.7,60.1*,46.9*,0.00G,999.9,0
744860,94789,20060422,45.8,24,36.1,24,1024.9,24,1024.2,24,8.9,24,15.2,24,21,29.7,57,44.1,0.08G,999.9,10000
744860,94789,20060423,52.1,24,50.3,24,1014.6,20,1013.4,24,3.3,24,13.6,24,22,28.7,61,44.1,2.39G,999.9,10000
744860,94789,20060424,51.2,24,47.7,24,1010.8,21,1010.1,24,9,24,7.7,24,15,999.9,61,46,0.54G,999.9,10010
744860,94789,20060425,55.5,24,44.8,24,1008.8,24,1008.1,24,9.7,24,8.2,24,22.7,27.8,66,46.9,0.15G,999.9,0
744860,94789,20060426,48.8,24,30,24,1013.2,24,1012.4,24,10,24,12.6,24,22.9,29.7,66,41,0.00G,999.9,10000
744860,94789,20060427,54.3,24,38.1,24,1011,24,1010.3,24,10,24,9,24,15.9,999.9,69.1,41,0.00G,999.9,0
744860,94789,20060428,54.5,24,30.9,24,1019.7,24,1018.9,24,10,24,11.3,24,17.9,22.7,69.1,44.1,0.00G,999.9,0
744860,94789,20060429,50.6,24,31.7,24,1029.2,24,1028.5,24,10,24,8.7,24,15,19.8,64,42.1,0.00G,999.9,0
744860,94789,20060430,53.5,24,29.3,24,1029.9,24,1029.2,24,10,24,9.5,24,16.9,19.8,70,42.1,0.00G,999.9,0
744860,94789,20060501,56.4,24,28.6,24,1026.7,24,1026,24,10,24,10.8,24,20.8,26.8,70,46.9,0.00G,999.9,0
744860,94789,20060502,55.3,24,33.6,24,1017.7,24,1017,24,10,24,10.4,24,15,19.8,70,46.9,0.00G,999.9,0
744860,94789,20060503,57,24,45,24,1011.2,24,1010.4,24,10,24,8.2,24,15,19.8,69.1,50,0.00G,999.9,10000
744860,94789,20060504,61.4,24,52.1,24,1010.7,24,1010.1,24,9.6,24,9.5,24,15.9,19.8,73.9,51.1,0.19G,999.9,10000
744860,94789,20060505,65.9,24,50.3,24,1007.2,24,1006.4,24,10,24,8.6,24,14,999.9,78.1,55,0.00G,999.9,0
744860,94789,20060506,63.6,24,43.7,24,1007.7,24,1007,24,10,24,6.1,24,13.8,19.8,78.1,55.9,0.00G,999.9,0
744860,94789,20060507,54.6,24,34.7,24,1017.8,24,1017.1,24,10,24,10,24,18.1,23.7,70,45,0.00G,999.9,0
744860,94789,20060508,55.8,24,33.9,24,1020.9,24,1020.1,24,10,24,8,24,15.9,999.9,64,45,0.00G,999.9,0
744860,94789,20060509,57,24,33.8,24,1016.5,24,1015.7,24,10,24,10.5,24,15.9,21.8,64,52,0.00G,999.9,10000
744860,94789,20060510,57.5,24,47.9,24,1012,24,1011.2,24,9.8,24,9.9,24,16.9,22.7,64.9,52,0.03G,999.9,10000
744860,94789,20060511,57.1,24,52.1,24,1011.6,20,1010.9,24,8.9,24,8.8,24,17.9,18.8,61.0*,51.8*,0.00H,999.9,10000
744860,94789,20060512,59.7,24,56.8,24,1005.9,20,1004.9,24,6.1,24,12.6,24,25.1,37.7,66.2*,55.0*,1.03G,999.9,10010
744860,94789,20060513,60.4,24,54.6,24,1010.7,23,1009.8,24,8.5,24,6.1,24,13.8,999.9,69.1*,55.4*,1.00G,999.9,0
744860,94789,20060514,54.7,24,47.9,24,1016,24,1015.2,24,10,24,10.4,24,15,999.9,71.1,50,0.00G,999.9,0
744860,94789,20060515,54.5,24,49.9,24,1014.1,22,1013.4,24,8.9,24,10.7,24,16.9,21.8,64.9,51.1,0.00G,999.9,10010
744860,94789,20060516,56.6,24,51.6,24,1005.4,19,1005.1,24,6,24,7.3,24,16.9,999.9,64.9,51.1,1.47G,999.9,10010
744860,94789,20060517,59.6,24,49.8,24,1002.7,24,1001.9,24,9.9,24,10.6,24,14,999.9,68,53.1,0.27G,999.9,0
744860,94789,20060518,61.3,24,52.9,24,999.2,24,998.4,24,9.4,24,9.6,24,18.1,23.7,69.1,53.1,0.00G,999.9,10010
744860,94789,20060519,57.4,24,52,24,1000.7,23,999.8,24,7.7,24,7,24,20.8,999.9,69.1,51.1,0.73G,999.9,10010
744860,94789,20060520,59.1,24,44.4,24,1004,24,1003.2,24,10,24,14.9,24,21.8,26.8,69.1,52,0.37G,999.9,0
744860,94789,20060521,59.6,24,41.9,24,1005.4,24,1004.7,24,9.9,24,12.1,24,21.8,28.7,68,50,0.00G,999.9,10000
744860,94789,20060522,55.2,24,34.5,24,1009.5,24,1008.7,24,10,24,18.4,24,24.9,31.7,64.9,48,0.05G,999.9,0
744860,94789,20060523,55.5,24,33.3,24,1014.8,24,1014,24,10,24,16.5,24,23.9,31.7,69.1,45,0.00G,999.9,0
744860,94789,20060524,61.3,24,39.6,24,1015.6,24,1014.9,24,10,24,11,24,18.1,19.8,73,52,0.00G,999.9,0
744860,94789,20060525,61.8,24,48.6,24,1013.1,24,1012.3,24,10,24,6.7,24,15,999.9,73,52,0.00G,999.9,0
744860,94789,20060526,61.6,24,58.1,24,1006.2,20,1005.4,24,4.3,24,5.9,24,15.9,999.9,71.1,52,0.00G,999.9,110010
744860,94789,20060527,69.8,24,60.9,24,1005.8,23,1004.7,24,5.7,24,6.5,24,15.9,20.8,84,57,0.15G,999.9,10010
744860,94789,20060528,72.3,24,58.5,24,1017.7,24,1016.9,24,9.8,24,8.8,24,12.8,999.9,84,59,0.00G,999.9,0
744860,94789,20060529,66.7,24,59.9,24,1019.5,24,1019,24,7.3,24,6.8,24,15,999.9,79,59,0.00G,999.9,10000
744860,94789,20060530,71.8,24,61.8,24,1018.5,24,1017.5,24,8.5,24,6.6,24,13,999.9,82.9,59,0.00G,999.9,10010
744860,94789,20060531,64.6,24,60.4,24,1022.1,24,1021.3,24,8.3,24,7.3,24,11.1,999.9,66.9*,62.1*,0.00G,999.9,100000
744860,94789,20060601,67.3,24,63.6,24,1017,22,1016.6,24,3,24,8.6,24,20,26.8,77,62.1,0.00G,999.9,110000
744860,94789,20060602,70.8,24,66.5,24,1011.4,20,1011,24,4.5,24,8.2,24,19.8,25.8,78.1,62.1,0.33G,999.9,10010
744860,94789,20060603,66,24,64.4,24,1006,22,1005.2,24,3.7,24,7.3,24,13.8,999.9,69.8*,62.6*,1.05G,999.9,110010
744860,94789,20060604,61.1,24,54.4,24,1007.2,24,1006.5,24,9.8,24,7.6,24,12.8,999.9,69.1,55.9,0.37G,999.9,10000
744860,94789,20060605,63.7,24,57,24,1010.9,24,1010.1,24,9.7,24,5.4,24,10.9,999.9,69.1,55.9,0.07G,999.9,10000
744860,94789,20060606,64.2,24,57,24,1014.6,24,1013.8,24,8.5,24,6.3,24,14,18.8,72,57,0.00G,999.9,0
744860,94789,20060607,61.2,24,57,24,1008.9,21,1008.1,24,7.4,24,11.5,24,16.9,20.8,72,57,0.12G,999.9,10000
744860,94789,20060608,60.2,24,55.4,24,1007.9,23,1007.1,24,9.2,24,8.4,24,15.9,19.8,66,57,1.08G,999.9,10000
744860,94789,20060609,65.1,24,56.9,24,1006.7,23,1006.2,24,8.8,24,6.4,24,13.8,999.9,75.9,57.9,0.07G,999.9,10010
744860,94789,20060610,62.6,24,48.5,24,1002.6,24,1001.9,24,9.9,24,16.4,24,22,32.6,75.9,57,0.43G,999.9,10000
744860,94789,20060611,61.5,24,42.2,24,1006,24,1005.2,24,10,24,14.5,24,20.8,24.9,71.1,53.1,0.00G,999.9,0
744860,94789,20060612,63.9,24,50.6,24,1011.6,24,1010.8,24,10,24,9,24,15.9,20.8,71.1,53.1,0.00G,999.9,0
744860,94789,20060613,69.6,24,56.7,24,1014.4,24,1013.6,24,10,24,9,24,15,999.9,79,57,0.00G,999.9,0
744860,94789,20060614,66.9,24,60.7,24,1015.2,24,1014.4,24,9.5,24,6.4,24,12,999.9,79,63,0.00G,999.9,0
744860,94789,20060615,70,24,53.8,24,1011.1,24,1010.4,24,10,24,9.2,24,17.9,26.8,82,62.1,0.00G,999.9,0
744860,94789,20060616,73.5,24,48.1,24,1018.8,24,1018,24,10,24,8.5,24,15,19.8,87.1,63,0.04G,999.9,0
744860,94789,20060617,70.5,24,57.2,24,1020.1,24,1019.4,24,10,24,7.3,24,10.9,999.9,87.1,62.1,0.00G,999.9,0
744860,94789,20060618,72.9,24,61.3,24,1018.1,24,1017.4,24,9.7,24,9.5,24,14,999.9,80.1,62.1,0.00G,999.9,0
744860,94789,20060619,72.5,24,64.8,24,1013.9,24,1013.2,24,5.9,24,9,24,19.8,21.8,81,66,0.00G,999.9,0
744860,94789,20060620,74.4,24,64.4,24,1011.3,24,1010.5,24,7.7,24,9,24,15.9,19.8,82.9,66,0.01G,999.9,10000
744860,94789,20060621,74.9,24,56.3,24,1017,24,1016.2,24,10,24,7.8,24,13,999.9,82.9,66.9,0.00G,999.9,0
744860,94789,20060622,71.3,24,64.3,24,1018.1,24,1017.3,24,6.7,24,7.3,24,13,999.9,81,64.9,0.00G,999.9,0
744860,94789,20060623,74.7,24,65.4,24,1017,24,1016.3,24,8.7,24,7.9,24,14,17.9,82.9,66,0.00G,999.9,10000
744860,94789,20060624,70,24,67.8,24,1017.9,19,1017.2,24,3.3,24,4.8,24,13,999.9,82.9,66.9,0.59G,999.9,10010
744860,94789,20060625,69.7,24,67.3,24,1019.7,23,1019,24,6.3,24,6.6,24,13,999.9,73.9,66.9,1.12G,999.9,10000
744860,94789,20060626,71.4,24,67.7,24,1019.8,24,1019.1,24,9.9,24,13.1,24,15.9,24.9,77,66.9,0.74G,999.9,10000
744860,94789,20060627,72.9,24,68.4,24,1021.9,24,1021.1,24,9.7,24,14.6,24,18.1,24.9,78.1,69.1,0.01G,999.9,0
744860,94789,20060628,72.8,24,68.2,24,1017.4,23,1016.5,24,8.7,24,16.6,24,26,37.7,79.0*,69.8*,0.30G,999.9,10000
744860,94789,20060629,71.2,24,66.8,24,1016.6,17,1015.8,24,4.8,24,8.3,24,15.9,20.8,81,66,99.99,999.9,110010
744860,94789,20060630,73.6,24,57.7,24,1014.5,24,1013.7,24,9.5,24,9.5,24,15.9,18.8,82.9,64.9,0.08G,999.9,10010
744860,94789,20060701,72.9,24,59,24,1019.9,24,1019.2,24,9.7,24,9.8,24,19.8,28.7,82.9,64.9,0.00G,999.9,10000
744860,94789,20060702,77.8,24,64.2,24,1017.3,24,1016.6,24,8.4,24,11.9,24,17.9,40.6,90,64.9,0.00G,999.9,10010
744860,94789,20060703,76.7,24,66.7,24,1016.6,24,1015.8,24,9.2,24,10.5,24,18.1,19.8,90,69.1,0.03G,999.9,10010
744860,94789,20060704,77.3,24,69.8,24,1014.4,23,1013.5,24,5.9,24,7.2,24,23.7,31.7,86,71.1,0.00G,999.9,10010
744860,94789,20060705,74.1,24,68.5,24,1012.8,23,1012,24,6.4,24,8.2,24,13.8,17.9,86,69.1,0.69G,999.9,10010
744860,94789,20060706,69.9,24,60.8,24,1015.7,24,1014.8,24,8.3,24,6.3,24,12.8,999.9,78.1,62.1,1.48G,999.9,10000
744860,94789,20060707,71.8,24,54.6,24,1021.9,24,1021.1,24,10,24,7.3,24,11.8,999.9,81,62.1,0.57G,999.9,0
744860,94789,20060708,73.4,24,61.5,24,1022.6,24,1021.8,24,10,24,5.2,24,8.9,999.9,81,62.1,0.00G,999.9,0
744860,94789,20060709,75.9,23,63.8,23,1018.1,22,1017.5,19,10,23,7.8,23,18.8,23.7,84.4,66.9,0.00G,999.9,0
744860,94789,20060710,72.5,24,63.8,24,1018.1,24,1016.9,24,9.7,24,10.3,24,18.8,24.9,84,66,0.00G,999.9,0
744860,94789,20060711,73.6,24,67.2,24,1018.9,24,1018.2,24,9.2,24,10.7,24,17.9,23.7,81,66,0.00G,999.9,0
744860,94789,20060712,74.6,24,69.5,24,1018,24,1017.2,24,4.6,24,6.8,24,15,16.9,81,68,0.00G,999.9,10010
744860,94789,20060713,77.3,24,69.2,24,1012.8,23,1012.1,24,6.2,24,10.2,24,20.8,25.8,86,71.1,1.41G,999.9,10010
744860,94789,20060714,73.4,24,66.1,24,1016.1,24,1015.4,24,9.2,24,6,24,11.1,999.9,86,66,0.03G,999.9,0
