Demographic,Borough,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
Borough Total,Staten Island,2001,3872,2565,66.20%,1901,49.10%,74.10%,876,22.60%,34.20%,1025,26.50%,40%,665,17.20%,25.90%,786,20.30%,417,10.80%
Borough Total,Staten Island,2002,4134,2721,65.80%,2040,49.30%,75%,861,20.80%,31.60%,1179,28.50%,43.30%,683,16.50%,25.10%,844,20.40%,426,10.30%
Borough Total,Staten Island,2003,4218,2812,66.70%,2169,51.40%,77.10%,883,20.90%,31.40%,1286,30.50%,45.70%,643,15.20%,22.90%,919,21.80%,374,8.90%
Borough Total,Staten Island,2004,4142,2788,67.30%,2220,53.60%,79.60%,1029,24.80%,36.90%,1191,28.80%,42.70%,568,13.70%,20.40%,844,20.40%,381,9.20%
Borough Total,Staten Island,2005,4460,3098,69.50%,2467,55.30%,79.60%,1059,23.70%,34.20%,1408,31.60%,45.40%,631,14.10%,20.40%,758,17%,362,8.10%
Borough Total,Staten Island,2006,4603,3346,72.70%,2818,61.20%,84.20%,1192,25.90%,35.60%,1626,35.30%,48.60%,528,11.50%,15.80%,683,14.80%,414,9%
Borough Total,Staten Island,Aug-06,4603,3423,74.40%,2856,62%,83.40%,1194,25.90%,34.90%,1662,36.10%,48.60%,567,12.30%,16.60%,607,13.20%,413,9%
English Language Learners,Bronx,2001,1984,388,19.60%,78,3.90%,20.10%,10,0.50%,2.60%,68,3.40%,17.50%,311,15.70%,80.20%,799,40.30%,592,29.80%
English Language Learners,Bronx,2002,1693,333,19.70%,77,4.50%,23.10%,7,0.40%,2.10%,70,4.10%,21%,257,15.20%,77.20%,725,42.80%,509,30.10%
English Language Learners,Bronx,2003,1905,391,20.50%,95,5%,24.30%,12,0.60%,3.10%,83,4.40%,21.20%,296,15.50%,75.70%,790,41.50%,586,30.80%
English Language Learners,Bronx,2004,1894,640,33.80%,214,11.30%,33.40%,27,1.40%,4.20%,187,9.90%,29.20%,426,22.50%,66.60%,711,37.50%,437,23.10%
English Language Learners,Bronx,2005,1940,694,35.80%,317,16.30%,45.70%,53,2.70%,7.60%,264,13.60%,38%,377,19.40%,54.30%,685,35.30%,357,18.40%
English Language Learners,Bronx,2006,2143,791,36.90%,396,18.50%,50.10%,30,1.40%,3.80%,366,17.10%,46.30%,395,18.40%,49.90%,722,33.70%,429,20%
English Language Learners,Bronx,Aug-06,2143,899,42%,422,19.70%,46.90%,31,1.40%,3.40%,391,18.20%,43.50%,477,22.30%,53.10%,619,28.90%,424,19.80%
English Language Learners,Brooklyn,2001,2543,691,27.20%,268,10.50%,38.80%,116,4.60%,16.80%,152,6%,22%,424,16.70%,61.40%,1070,42.10%,658,25.90%
English Language Learners,Brooklyn,2002,1902,428,22.50%,145,7.60%,33.90%,46,2.40%,10.70%,99,5.20%,23.10%,287,15.10%,67.10%,765,40.20%,622,32.70%
English Language Learners,Brooklyn,2003,1899,448,23.60%,217,11.40%,48.40%,82,4.30%,18.30%,135,7.10%,30.10%,231,12.20%,51.60%,849,44.70%,542,28.50%
English Language Learners,Brooklyn,2004,2055,730,35.50%,381,18.50%,52.20%,142,6.90%,19.50%,239,11.60%,32.70%,349,17%,47.80%,799,38.90%,447,21.80%
English Language Learners,Brooklyn,2005,2220,864,38.90%,474,21.40%,54.90%,177,8%,20.50%,297,13.40%,34.40%,390,17.60%,45.10%,851,38.30%,409,18.40%
English Language Learners,Brooklyn,2006,2181,905,41.50%,641,29.40%,70.80%,186,8.50%,20.60%,455,20.90%,50.30%,264,12.10%,29.20%,764,35%,433,19.90%
English Language Learners,Brooklyn,Aug-06,2181,988,45.30%,674,30.90%,68.20%,188,8.60%,19%,486,22.30%,49.20%,314,14.40%,31.80%,681,31.20%,433,19.90%
English Language Learners,Manhattan,2001,1956,691,35.30%,237,12.10%,34.30%,49,2.50%,7.10%,188,9.60%,27.20%,454,23.20%,65.70%,592,30.30%,527,26.90%
English Language Learners,Manhattan,2002,1397,331,23.70%,133,9.50%,40.20%,17,1.20%,5.10%,116,8.30%,35%,202,14.50%,61%,610,43.70%,392,28.10%
English Language Learners,Manhattan,2003,1761,489,27.80%,195,11.10%,39.90%,51,2.90%,10.40%,144,8.20%,29.40%,294,16.70%,60.10%,751,42.60%,453,25.70%
English Language Learners,Manhattan,2004,1854,698,37.60%,344,18.60%,49.30%,124,6.70%,17.80%,220,11.90%,31.50%,354,19.10%,50.70%,737,39.80%,351,18.90%
English Language Learners,Manhattan,2005,1909,815,42.70%,462,24.20%,56.70%,148,7.80%,18.20%,314,16.40%,38.50%,352,18.40%,43.20%,637,33.40%,365,19.10%
English Language Learners,Manhattan,2006,1977,817,41.30%,563,28.50%,68.90%,169,8.50%,20.70%,394,19.90%,48.20%,254,12.80%,31.10%,643,32.50%,411,20.80%
English Language Learners,Manhattan,Aug-06,1977,881,44.60%,576,29.10%,65.40%,169,8.50%,19.20%,407,20.60%,46.20%,305,15.40%,34.60%,580,29.30%,410,20.70%
English Language Learners,Queens,2001,2689,873,32.50%,362,13.50%,41.50%,136,5.10%,15.60%,226,8.40%,25.90%,512,19%,58.60%,1023,38%,673,25%
English Language Learners,Queens,2002,1963,476,24.20%,223,11.40%,46.80%,58,3%,12.20%,165,8.40%,34.70%,254,12.90%,53.40%,789,40.20%,614,31.30%
English Language Learners,Queens,2003,2127,579,27.20%,314,14.80%,54.20%,112,5.30%,19.30%,202,9.50%,34.90%,265,12.50%,45.80%,857,40.30%,621,29.20%
English Language Learners,Queens,2004,2456,919,37.40%,537,21.90%,58.40%,183,7.50%,19.90%,354,14.40%,38.50%,382,15.60%,41.60%,957,39%,523,21.30%
English Language Learners,Queens,2005,2508,1049,41.80%,630,25.10%,60.10%,202,8.10%,19.30%,428,17.10%,40.80%,419,16.70%,39.90%,827,33%,516,20.60%
English Language Learners,Queens,2006,2598,1168,45%,793,30.50%,67.90%,195,7.50%,16.70%,598,23%,51.20%,375,14.40%,32.10%,832,32%,497,19.10%
English Language Learners,Queens,Aug-06,2598,1328,51.10%,856,32.90%,64.50%,207,8%,15.60%,649,25%,48.90%,472,18.20%,35.50%,672,25.90%,497,19.10%
English Language Learners,Staten Island,2001,171,42,24.60%,16,9.40%,38.10%,4,2.30%,9.50%,12,7%,28.60%,26,15.20%,61.90%,78,45.60%,38,22.20%
English Language Learners,Staten Island,2002,153,41,26.80%,17,11.10%,41.50%,4,2.60%,9.80%,13,8.50%,31.70%,24,15.70%,58.50%,64,41.80%,39,25.50%
English Language Learners,Staten Island,2003,201,74,36.80%,46,22.90%,62.20%,5,2.50%,6.80%,41,20.40%,55.40%,28,13.90%,37.80%,73,36.30%,36,17.90%
English Language Learners,Staten Island,2004,153,36,23.50%,15,9.80%,41.70%,2,1.30%,5.60%,13,8.50%,36.10%,21,13.70%,58.30%,70,45.80%,38,24.80%
English Language Learners,Staten Island,2005,187,59,31.60%,25,13.40%,42.40%,3,1.60%,5.10%,22,11.80%,37.30%,34,18.20%,57.60%,59,31.60%,41,21.90%
English Language Learners,Staten Island,2006,153,74,48.40%,44,28.80%,59.50%,13,8.50%,17.60%,31,20.30%,41.90%,30,19.60%,40.50%,40,26.10%,24,15.70%
English Language Learners,Staten Island,Aug-06,153,79,51.60%,45,29.40%,57%,13,8.50%,16.50%,32,20.90%,40.50%,34,22.20%,43%,35,22.90%,24,15.70%
English Proficient Students,Bronx,2001,9469,4525,47.80%,2566,27.10%,56.70%,988,10.40%,21.80%,1578,16.70%,34.90%,1960,20.70%,43.30%,2713,28.70%,1846,19.50%
English Proficient Students,Bronx,2002,10339,4995,48.30%,3041,29.40%,60.90%,985,9.50%,19.70%,2056,19.90%,41.20%,1960,19%,39.20%,3322,32.10%,1631,15.80%
English Proficient Students,Bronx,2003,11727,5998,51.10%,3766,32.10%,62.80%,1243,10.60%,20.70%,2523,21.50%,42.10%,2232,19%,37.20%,3468,29.60%,1886,16.10%
English Proficient Students,Bronx,2004,12470,6808,54.60%,4411,35.40%,64.80%,1368,11%,20.10%,3043,24.40%,44.70%,2397,19.20%,35.20%,3458,27.70%,1866,15%
English Proficient Students,Bronx,2005,13235,7535,56.90%,5301,40.10%,70.40%,1491,11.30%,19.80%,3810,28.80%,50.60%,2234,16.90%,29.60%,3258,24.60%,1790,13.50%
English Proficient Students,Bronx,2006,13436,7733,57.60%,5916,44%,76.50%,1528,11.40%,19.80%,4388,32.70%,56.70%,1817,13.50%,23.50%,3102,23.10%,1973,14.70%
English Proficient Students,Bronx,Aug-06,13436,8316,61.90%,6183,46%,74.40%,1541,11.50%,18.50%,4642,34.50%,55.80%,2133,15.90%,25.60%,2541,18.90%,1951,14.50%
English Proficient Students,Brooklyn,2001,17418,9067,52.10%,5909,33.90%,65.20%,2713,15.60%,29.90%,3196,18.30%,35.20%,3167,18.20%,34.90%,5031,28.90%,2889,16.60%
English Proficient Students,Brooklyn,2002,18906,9909,52.40%,6905,36.50%,69.70%,2819,14.90%,28.40%,4086,21.60%,41.20%,3011,15.90%,30.40%,5603,29.60%,2747,14.50%
English Proficient Students,Brooklyn,2003,19435,10616,54.60%,7494,38.60%,70.60%,3157,16.20%,29.70%,4337,22.30%,40.90%,3122,16.10%,29.40%,5722,29.40%,2656,13.70%
English Proficient Students,Brooklyn,2004,20298,11573,57%,8491,41.80%,73.40%,3599,17.70%,31.10%,4892,24.10%,42.30%,3082,15.20%,26.60%,5688,28%,2526,12.40%
English Proficient Students,Brooklyn,2005,20111,11739,58.40%,9014,44.80%,76.80%,3441,17.10%,29.30%,5573,27.70%,47.50%,2725,13.50%,23.20%,5469,27.20%,2169,10.80%
English Proficient Students,Brooklyn,2006,19996,12135,60.70%,9799,49%,80.70%,3531,17.70%,29.10%,6268,31.30%,51.70%,2336,11.70%,19.30%,4872,24.40%,2298,11.50%
English Proficient Students,Brooklyn,Aug-06,19996,13055,65.30%,10271,51.40%,78.70%,3575,17.90%,27.40%,6696,33.50%,51.30%,2784,13.90%,21.30%,3967,19.80%,2283,11.40%
English Proficient Students,Manhattan,2001,10714,6789,63.40%,4726,44.10%,69.60%,1802,16.80%,26.50%,2924,27.30%,43.10%,2065,19.30%,30.40%,2237,20.90%,1435,13.40%
English Proficient Students,Manhattan,2002,12066,7415,61.50%,5364,44.50%,72.30%,1855,15.40%,25%,3509,29.10%,47.30%,2057,17%,27.70%,2951,24.50%,1351,11.20%
English Proficient Students,Manhattan,2003,12118,7124,58.80%,5304,43.80%,74.50%,2476,20.40%,34.80%,2828,23.30%,39.70%,1820,15%,25.50%,3489,28.80%,1276,10.50%
English Proficient Students,Manhattan,2004,13273,8082,60.90%,6105,46%,75.50%,2687,20.20%,33.20%,3418,25.80%,42.30%,1977,14.90%,24.50%,3506,26.40%,1491,11.20%
English Proficient Students,Manhattan,2005,13934,9001,64.60%,7161,51.40%,79.60%,2525,18.10%,28.10%,4636,33.30%,51.50%,1840,13.20%,20.40%,3237,23.20%,1232,8.80%
English Proficient Students,Manhattan,2006,14439,9594,66.40%,8152,56.50%,85%,2612,18.10%,27.20%,5540,38.40%,57.70%,1442,10%,15%,3076,21.30%,1273,8.80%
English Proficient Students,Manhattan,Aug-06,14439,10066,69.70%,8417,58.30%,83.60%,2622,18.20%,26%,5795,40.10%,57.60%,1649,11.40%,16.40%,2614,18.10%,1264,8.80%
English Proficient Students,Queens,2001,14322,8307,58%,6090,42.50%,73.30%,2558,17.90%,30.80%,3532,24.70%,42.50%,2226,15.50%,26.80%,3656,25.50%,2023,14.10%
English Proficient Students,Queens,2002,16299,9393,57.60%,7027,43.10%,74.80%,2779,17.10%,29.60%,4248,26.10%,45.20%,2370,14.50%,25.20%,4172,25.60%,2202,13.50%
English Proficient Students,Queens,2003,16288,9876,60.60%,7603,46.70%,77%,3283,20.20%,33.20%,4320,26.50%,43.70%,2273,14%,23%,4012,24.60%,2097,12.90%
English Proficient Students,Queens,2004,16269,10003,61.50%,7913,48.60%,79.10%,3421,21%,34.20%,4492,27.60%,44.90%,2090,12.80%,20.90%,4044,24.90%,1982,12.20%
English Proficient Students,Queens,2005,17003,10814,63.60%,8660,50.90%,80.10%,3416,20.10%,31.60%,5244,30.80%,48.50%,2154,12.70%,19.90%,3608,21.20%,1919,11.30%
English Proficient Students,Queens,2006,16960,11297,66.60%,9492,56%,84%,3442,20.30%,30.50%,6050,35.70%,53.60%,1805,10.60%,16%,3440,20.30%,1759,10.40%
English Proficient Students,Queens,Aug-06,16960,12050,71%,9896,58.30%,82.10%,3474,20.50%,28.80%,6422,37.90%,53.30%,2154,12.70%,17.90%,2691,15.90%,1755,10.30%
English Proficient Students,Staten Island,2001,3701,2523,68.20%,1885,50.90%,74.70%,872,23.60%,34.60%,1013,27.40%,40.20%,639,17.30%,25.30%,708,19.10%,379,10.20%
English Proficient Students,Staten Island,2002,3981,2680,67.30%,2023,50.80%,75.50%,857,21.50%,32%,1166,29.30%,43.50%,659,16.60%,24.60%,780,19.60%,387,9.70%
English Proficient Students,Staten Island,2003,4017,2738,68.20%,2123,52.90%,77.50%,878,21.90%,32.10%,1245,31%,45.50%,615,15.30%,22.50%,846,21.10%,338,8.40%
English Proficient Students,Staten Island,2004,3989,2752,69%,2205,55.30%,80.10%,1027,25.70%,37.30%,1178,29.50%,42.80%,547,13.70%,19.90%,774,19.40%,343,8.60%
English Proficient Students,Staten Island,2005,4273,3039,71.10%,2442,57.10%,80.40%,1056,24.70%,34.70%,1386,32.40%,45.60%,597,14%,19.60%,699,16.40%,321,7.50%
English Proficient Students,Staten Island,2006,4450,3272,73.50%,2774,62.30%,84.80%,1179,26.50%,36%,1595,35.80%,48.70%,498,11.20%,15.20%,643,14.40%,390,8.80%
English Proficient Students,Staten Island,Aug-06,4450,3344,75.10%,2811,63.20%,84.10%,1181,26.50%,35.30%,1630,36.60%,48.70%,533,12%,15.90%,572,12.90%,389,8.70%
Special Education,Bronx,2001,2259,309,13.70%,40,1.80%,12.90%,6,0.30%,1.90%,34,1.50%,11%,271,12%,87.70%,561,24.80%,866,38.30%
Special Education,Bronx,2002,1594,255,16%,41,2.60%,16.10%,1,0.10%,0.40%,40,2.50%,15.70%,214,13.40%,83.90%,580,36.40%,489,30.70%
Special Education,Bronx,2003,2273,362,15.90%,60,2.60%,16.60%,8,0.40%,2.20%,52,2.30%,14.40%,302,13.30%,83.40%,1022,45%,593,26.10%
Special Education,Bronx,2004,2388,518,21.70%,127,5.30%,24.50%,15,0.60%,2.90%,112,4.70%,21.60%,391,16.40%,75.50%,947,39.70%,553,23.20%
Special Education,Bronx,2005,2665,585,22%,200,7.50%,34.20%,16,0.60%,2.70%,184,6.90%,31.50%,385,14.40%,65.80%,1017,38.20%,588,22.10%
Special Education,Bronx,2006,2889,741,25.60%,261,9%,35.20%,17,0.60%,2.30%,244,8.40%,32.90%,480,16.60%,64.80%,988,34.20%,655,22.70%
Special Education,Bronx,Aug-06,2889,818,28.30%,272,9.40%,33.30%,17,0.60%,2.10%,255,8.80%,31.20%,546,18.90%,66.70%,914,31.60%,652,22.60%
Special Education,Brooklyn,2001,2702,402,14.90%,69,2.60%,17.20%,11,0.40%,2.70%,58,2.10%,14.40%,339,12.50%,84.30%,869,32.20%,947,35%
Special Education,Brooklyn,2002,2169,325,15%,79,3.60%,24.30%,13,0.60%,4%,66,3%,20.30%,246,11.30%,75.70%,918,42.30%,584,26.90%
Special Education,Brooklyn,2003,2796,469,16.80%,118,4.20%,25.20%,30,1.10%,6.40%,88,3.10%,18.80%,351,12.60%,74.80%,1417,50.70%,650,23.20%
Special Education,Brooklyn,2004,3066,603,19.70%,185,6%,30.70%,35,1.10%,5.80%,150,4.90%,24.90%,418,13.60%,69.30%,1323,43.20%,649,21.20%
Special Education,Brooklyn,2005,3021,649,21.50%,217,7.20%,33.40%,41,1.40%,6.30%,176,5.80%,27.10%,432,14.30%,66.60%,1254,41.50%,649,21.50%
Special Education,Brooklyn,2006,3183,789,24.80%,310,9.70%,39.30%,43,1.40%,5.40%,267,8.40%,33.80%,479,15%,60.70%,1289,40.50%,666,20.90%
Special Education,Brooklyn,Aug-06,3183,893,28.10%,329,10.30%,36.80%,46,1.40%,5.20%,283,8.90%,31.70%,564,17.70%,63.20%,1188,37.30%,663,20.80%
Special Education,Manhattan,2001,1586,292,18.40%,58,3.70%,19.90%,5,0.30%,1.70%,53,3.30%,18.20%,235,14.80%,80.50%,407,25.70%,553,34.90%
Special Education,Manhattan,2002,1159,234,20.20%,76,6.60%,32.50%,10,0.90%,4.30%,66,5.70%,28.20%,158,13.60%,67.50%,471,40.60%,303,26.10%
Special Education,Manhattan,2003,1503,281,18.70%,90,6%,32%,18,1.20%,6.40%,72,4.80%,25.60%,191,12.70%,68%,728,48.40%,333,22.20%
Special Education,Manhattan,2004,1847,454,24.60%,163,8.80%,35.90%,21,1.10%,4.60%,142,7.70%,31.30%,291,15.80%,64.10%,758,41%,418,22.60%
Special Education,Manhattan,2005,1916,514,26.80%,202,10.50%,39.30%,20,1%,3.90%,182,9.50%,35.40%,312,16.30%,60.70%,754,39.40%,382,19.90%
Special Education,Manhattan,2006,2170,686,31.60%,327,15.10%,47.70%,26,1.20%,3.80%,301,13.90%,43.90%,359,16.50%,52.30%,774,35.70%,424,19.50%
Special Education,Manhattan,Aug-06,2170,722,33.30%,335,15.40%,46.40%,26,1.20%,3.60%,309,14.20%,42.80%,387,17.80%,53.60%,738,34%,424,19.50%
Special Education,Queens,2001,1999,419,21%,63,3.20%,15%,14,0.70%,3.30%,49,2.50%,11.70%,359,18%,85.70%,559,28%,643,32.20%
Special Education,Queens,2002,1366,294,21.50%,75,5.50%,25.50%,8,0.60%,2.70%,67,4.90%,22.80%,219,16%,74.50%,500,36.60%,385,28.20%
Special Education,Queens,2003,1782,343,19.20%,72,4%,21%,8,0.40%,2.30%,64,3.60%,18.70%,271,15.20%,79%,900,50.50%,379,21.30%
Special Education,Queens,2004,2099,495,23.60%,171,8.10%,34.50%,28,1.30%,5.70%,143,6.80%,28.90%,324,15.40%,65.50%,908,43.30%,442,21.10%
Special Education,Queens,2005,2366,629,26.60%,232,9.80%,36.90%,21,0.90%,3.30%,211,8.90%,33.50%,397,16.80%,63.10%,930,39.30%,502,21.20%
Special Education,Queens,2006,2345,643,27.40%,259,11%,40.30%,29,1.20%,4.50%,230,9.80%,35.80%,384,16.40%,59.70%,952,40.60%,489,20.90%
Special Education,Queens,Aug-06,2345,736,31.40%,274,11.70%,37.20%,30,1.30%,4.10%,244,10.40%,33.20%,462,19.70%,62.80%,860,36.70%,488,20.80%
Special Education,Staten Island,2001,622,184,29.60%,26,4.20%,14.10%,2,0.30%,1.10%,24,3.90%,13%,158,25.40%,85.90%,184,29.60%,160,25.70%
Special Education,Staten Island,2002,475,158,33.30%,28,5.90%,17.70%,3,0.60%,1.90%,25,5.30%,15.80%,131,27.60%,82.90%,180,37.90%,91,19.20%
Special Education,Staten Island,2003,636,174,27.40%,52,8.20%,29.90%,8,1.30%,4.60%,44,6.90%,25.30%,122,19.20%,70.10%,308,48.40%,88,13.80%
Special Education,Staten Island,2004,712,216,30.30%,73,10.30%,33.80%,12,1.70%,5.60%,61,8.60%,28.20%,143,20.10%,66.20%,256,36%,118,16.60%
Special Education,Staten Island,2005,777,283,36.40%,107,13.80%,37.80%,15,1.90%,5.30%,92,11.80%,32.50%,176,22.70%,62.20%,256,32.90%,127,16.30%
Special Education,Staten Island,2006,778,308,39.60%,113,14.50%,36.70%,13,1.70%,4.20%,100,12.90%,32.50%,195,25.10%,63.30%,240,30.80%,141,18.10%
Special Education,Staten Island,Aug-06,778,321,41.30%,117,15%,36.40%,13,1.70%,4%,104,13.40%,32.40%,204,26.20%,63.60%,227,29.20%,141,18.10%
General Education,Bronx,2001,9194,4604,50.10%,2604,28.30%,56.60%,992,10.80%,21.50%,1612,17.50%,35%,2000,21.80%,43.40%,2951,32.10%,1572,17.10%
General Education,Bronx,2002,10438,5073,48.60%,3077,29.50%,60.70%,991,9.50%,19.50%,2086,20%,41.10%,2003,19.20%,39.50%,3467,33.20%,1651,15.80%
General Education,Bronx,2003,11359,6027,53.10%,3801,33.50%,63.10%,1247,11%,20.70%,2554,22.50%,42.40%,2226,19.60%,36.90%,3236,28.50%,1879,16.50%
General Education,Bronx,2004,11976,6930,57.90%,4498,37.60%,64.90%,1380,11.50%,19.90%,3118,26%,45%,2432,20.30%,35.10%,3222,26.90%,1750,14.60%
General Education,Bronx,2005,12510,7644,61.10%,5418,43.30%,70.90%,1528,12.20%,20%,3890,31.10%,50.90%,2226,17.80%,29.10%,2926,23.40%,1559,12.50%
General Education,Bronx,2006,12690,7783,61.30%,6051,47.70%,77.70%,1541,12.10%,19.80%,4510,35.50%,57.90%,1732,13.60%,22.30%,2836,22.30%,1747,13.80%
General Education,Bronx,Aug-06,12690,8397,66.20%,6333,49.90%,75.40%,1555,12.30%,18.50%,4778,37.70%,56.90%,2064,16.30%,24.60%,2246,17.70%,1723,13.60%
General Education,Brooklyn,2001,17259,9356,54.20%,6108,35.40%,65.30%,2818,16.30%,30.10%,3290,19.10%,35.20%,3252,18.80%,34.80%,5232,30.30%,2600,15.10%
General Education,Brooklyn,2002,18639,10012,53.70%,6971,37.40%,69.60%,2852,15.30%,28.50%,4119,22.10%,41.10%,3052,16.40%,30.50%,5450,29.20%,2785,14.90%
General Education,Brooklyn,2003,18538,10595,57.20%,7593,41%,71.70%,3209,17.30%,30.30%,4384,23.60%,41.40%,3002,16.20%,28.30%,5154,27.80%,2548,13.70%
General Education,Brooklyn,2004,19287,11700,60.70%,8687,45%,74.20%,3706,19.20%,31.70%,4981,25.80%,42.60%,3013,15.60%,25.80%,5164,26.80%,2324,12%
General Education,Brooklyn,2005,19310,11954,61.90%,9271,48%,77.60%,3577,18.50%,29.90%,5694,29.50%,47.60%,2683,13.90%,22.40%,5066,26.20%,1929,10%
